Request,Time
0,0.630203
1,0.627648
2,0.629692
3,0.625331
4,0.618934
5,0.618947
6,0.617623
7,0.624646
8,0.626844
9,0.630055
10,0.626661
11,0.636899
12,0.631336
13,0.632807
14,0.631775
15,0.626986
16,0.641398
17,0.632236
18,0.629023
19,0.630911
20,0.632383
21,0.633240
22,0.634236
23,0.632137
24,0.627776
25,0.621684
26,0.619033
27,0.617959
28,0.620427
29,0.618142
30,0.618810
31,0.615255
32,0.618129
33,0.618601
34,0.627616
35,0.622616
36,0.618309
37,0.618201
38,0.619440
39,0.617850
40,0.642023
41,0.622909
42,0.617386
43,0.618961
44,0.619882
45,0.625059
46,0.631453
47,0.626757
48,0.620512
49,0.622153
50,0.620230
51,0.624097
52,0.625722
53,0.619583
54,0.617602
55,0.620539
56,0.618395
57,0.664143
58,0.625998
59,0.623569
60,0.629529
61,0.622230
62,0.617896
63,0.616998
64,0.622547
65,0.624495
66,0.618561
67,0.617613
68,0.623741
69,0.625545
70,0.619077
71,0.623078
72,0.619141
73,0.620472
74,0.618589
75,0.618446
76,0.620099
77,0.620850
78,0.620292
79,0.619467
80,0.618400
81,0.620099
82,0.618101
83,0.617932
84,0.620365
85,0.619318
86,0.618198
87,0.621223
88,0.621229
89,0.621119
90,0.622573
91,0.619664
92,0.618944
93,0.630848
94,0.623423
95,0.620624
96,0.621065
97,0.620523
98,0.619094
99,0.619777
100,0.620497
101,0.621142
102,0.625494
103,0.622374
104,0.619005
105,0.624258
106,0.623343
107,0.620937
108,0.633934
109,0.627731
110,0.619897
111,0.619042
112,0.640702
113,0.622798
114,0.623346
115,0.633279
116,0.630032
117,0.631762
118,0.621853
119,0.618067
120,0.617718
121,0.619297
122,0.617180
123,0.616301
124,0.631445
125,0.614021
126,0.666805
127,0.621223
128,0.616708
129,0.622554
130,0.617274
131,0.617691
132,0.615706
133,0.617582
134,0.616663
135,0.620096
136,0.659765
137,0.621306
138,0.623570
139,0.617591
140,0.622148
141,0.618829
142,0.622868
143,0.621210
144,0.624220
145,0.629382
146,0.617782
147,0.616807
148,0.624922
149,0.628711
150,0.642901
151,0.641532
152,0.620705
153,0.617094
154,0.633657
155,0.630387
156,0.638086
157,0.637692
158,0.624804
159,0.635660
160,0.625818
161,0.620595
162,0.625718
163,0.622098
164,0.623288
165,0.622240
166,0.619400
167,0.618897
168,0.626617
169,0.633663
170,0.641493
171,0.633911
172,0.624481
173,0.622308
174,0.635462
175,0.635420
176,0.631134
177,0.624552
178,0.627416
179,0.633403
180,0.628326
181,0.616866
182,0.631170
183,0.623935
184,0.627181
185,0.617360
186,0.616850
187,0.621193
188,0.627124
189,0.618612
190,0.620171
191,0.618266
192,0.622326
193,0.618048
194,0.618145
195,0.618612
196,0.618673
197,0.620479
198,0.620064
199,0.619153
200,0.618036
201,0.619546
202,0.618454
203,0.618196
204,0.621897
205,0.621724
206,0.620383
207,0.620714
208,0.623935
209,0.620443
210,0.622725
211,0.623056
212,0.624131
213,0.620208
214,0.619440
215,0.622305
216,0.621895
217,0.631994
218,0.635936
219,0.617893
220,0.621017
221,0.617235
222,0.618654
223,0.618881
224,0.619012
225,0.619582
226,0.618918
227,0.617855
228,0.619735
229,0.620899
230,0.620765
231,0.618587
232,0.618365
233,0.618511
234,0.619695
235,0.616280
236,0.617361
237,0.616968
238,0.616499
239,0.617574
240,0.617024
241,0.627669
242,0.625715
243,0.624928
244,0.621397
245,0.617416
246,0.621050
247,0.620994
248,0.623592
249,0.620215
250,0.620189
251,0.622815
252,0.621897
253,0.672247
254,0.634552
255,0.616528
256,0.627592
257,0.618384
258,0.615959
259,0.615314
260,0.619563
261,0.618467
262,0.618300
263,0.617744
264,0.617908
265,0.618515
266,0.619219
267,0.619590
268,0.618666
269,0.650131
270,0.625344
271,0.638662
272,0.626474
273,0.628757
274,0.617190
275,0.616135
276,0.617139
277,0.625252
278,0.616366
279,0.619684
280,0.618147
281,0.615578
282,0.623533
283,0.617394
284,0.626504
285,0.618270
286,0.617061
287,0.624725
288,0.622808
289,0.619609
290,0.619798
291,0.635327
292,0.626496
293,0.621526
294,0.624945
295,0.627299
296,0.633159
297,0.628046
298,0.626135
299,0.620940
300,0.634451
301,0.638076
302,0.629772
303,0.624445
304,0.622426
305,0.627733
306,0.636186
307,0.622984
308,0.622107
309,0.620394
310,0.623545
311,0.621638
312,0.618471
313,0.630025
314,0.616582
315,0.620279
316,0.618797
317,0.625367
318,0.627434
319,0.623043
320,0.633927
321,0.623153
322,0.619800
323,0.618262
324,0.621269
325,0.622402
326,0.621845
327,0.618353
328,0.617293
329,0.625767
330,0.622036
331,0.618883
332,0.618839
333,0.623573
334,0.622484
335,0.624401
336,0.619939
337,0.617259
338,0.621741
339,0.617614
340,0.616355
341,0.621355
342,0.616888
343,0.621400
344,0.619344
345,0.619272
346,0.617762
347,0.619177
348,0.616522
349,0.624912
350,0.619798
351,0.625288
352,0.617443
353,0.621879
354,0.617752
355,0.627837
356,0.653873
357,0.638778
358,0.621501
359,0.619747
360,0.618421
361,0.618219
362,0.616969
363,0.620465
364,0.622886
365,0.624263
366,0.616655
367,0.622224
368,0.618505
369,0.617417
370,0.615410
371,0.616921
372,0.617080
373,0.617344
374,0.620819
375,0.619419
376,0.618567
377,0.617292
378,0.617432
379,0.619136
380,0.640106
381,0.622892
382,0.628236
383,0.623959
384,0.629751
385,0.626162
386,0.624488
387,0.627551
388,0.625882
389,0.626346
390,0.626248
391,0.626202
392,0.621582
393,0.619520
394,0.622201
395,0.619555
396,0.617243
397,0.618965
398,0.620057
399,0.618528
400,0.617195
401,0.617420
402,0.627775
403,0.621176
404,0.620414
405,0.618299
406,0.620588
407,0.623567
408,0.617133
409,0.619239
410,0.619717
411,0.619652
412,0.619091
413,0.619973
414,0.619677
415,0.621324
416,0.630338
417,0.617538
418,0.617644
419,0.617655
420,0.618605
421,0.617473
422,0.619035
423,0.620360
424,0.618067
425,0.618758
426,0.618072
427,0.618107
428,0.618715
429,0.616786
430,0.618579
431,0.618344
432,0.619185
433,0.619298
434,0.617200
435,0.617752
436,0.621853
437,0.617119
438,0.618367
439,0.622503
440,0.619385
441,0.617355
442,0.616167
443,0.616894
444,0.618135
445,0.616624
446,0.616864
447,0.618179
448,0.616207
449,0.617704
450,0.618895
451,0.618453
452,0.619481
453,0.618099
454,0.625205
455,0.618609
456,0.626061
457,0.624726
458,0.627260
459,0.624846
460,0.624171
461,0.619876
462,0.619831
463,0.617477
464,0.616401
465,0.620926
466,0.623136
467,0.622834
468,0.627238
469,0.623046
470,0.622252
471,0.625939
472,0.618910
473,0.620425
474,0.630510
475,0.628303
476,0.637836
477,0.629507
478,0.643455
479,0.635728
480,0.630486
481,0.617938
482,0.617882
483,0.628147
484,0.622316
485,0.623954
486,0.625388
487,0.623329
488,0.622429
489,0.637212
490,0.622299
491,0.620773
492,0.619210
493,0.622067
494,0.621995
495,0.622255
496,0.621385
497,0.619844
498,0.619288
499,0.620165
